last_name, first_name,player_id,year,p_era,xbadiff,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,
Stroman, Marcus,573186,2022,3.50,-0.020,R,2181,8.5,92.6,2425,-4.6,-18.1,14.7,1.2,5.1,86.4,2692,4.9,-40.5,6.7,1.6,,,,,,,,,,,,,,,40.2,92,2265,-9,-29,9.9,0.9,10.5,90,2532,2,-28.6,5.7,1.3,12,87,1715,-12,-34.4,12.4,1.8,,,,,,,,
Thielbar, Caleb,573204,2022,3.49,.033,L,996,49.4,92.8,2298,3.2,-12.3,19.8,1.3,,,,,,,,1.1,82.7,1101,3.8,-28.3,13.3,1.4,24.7,73,2455,-10.5,-68.3,19.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minaya, Juan,573668,2022,5.59,.033,R,174,47.7,93.9,2219,-9.4,-16.8,17.3,1.3,15.5,85.8,2162,4,-35.3,4.8,1.3,36.8,88.4,1601,-12.3,-36.1,12.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikuchi, Yusei,579328,2022,5.19,-0.004,L,1843,50.6,94.9,2270,11.5,-13.6,20.8,1.1,30.7,86.5,2353,-3.1,-34.5,5.3,2.4,13.3,87,1563,10.5,-28.1,13.6,1.6,,,,,,,,,,,,,,,5.4,91.1,2255,0.3,-21.9,11.3,1.2,,,,,,,,,,,,,,,
Adam, Jason,592094,2022,1.56,-0.015,R,942,32.1,94.8,2654,-6.9,-13,19.1,1.3,,,,,,,,32.2,90,2016,-16.4,-31.8,16.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brice, Austin,592169,2022,4.05,-0.051,R,106,29.2,93.7,2231,-13.1,-21.9,16.2,1.2,,,,,,,,,,,,,,,47.2,81.6,2748,12.1,-41.6,12.4,1.2,23.6,93.8,2040,-17.4,-31.7,17.5,1.2,,,,,,,,,,,,,,,,,,,,,,
Claudio, Alex,592222,2022,0.00,-0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gausman, Kevin,592332,2022,3.35,.030,R,2783,48.8,95,2265,-10.5,-13.1,20.5,1.8,14.4,84.4,2206,1.2,-35.1,4,2,1.3,84.5,1497,-7.3,-30.8,11.1,1.7,,,,,,,,,,,,,,,,,,,,,,35.5,85.2,1569,-15,-33,16.2,1.6,,,,,,,,
Gonzalez, Chi Chi,592346,2022,5.87,.018,R,376,30.6,92.6,2287,-4.1,-19.8,13,1.4,27.9,84.3,2552,8.8,-33.8,10.9,1.6,15.2,85.5,1908,-15.2,-31,16.7,1.6,6.1,80.7,2479,10.3,-35.6,12.8,1.4,20.2,92.1,2169,-11.7,-24.9,13.9,1.2,,,,,,,,,,,,,,,,,,,,,,
Gray, Jon,592351,2022,3.96,-0.008,R,2062,50.5,95.9,2015,-11.4,-17.2,17.3,1.2,36.1,84.9,2467,10,-32.5,12.2,1.4,9.3,88.7,1455,-14.2,-26,17,1.2,4.1,77.8,2597,14.5,-56,18,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hembree, Heath,592390,2022,7.36,.002,R,396,52,94.2,2320,-8.7,-13.7,19.4,1.3,44.9,84.2,2645,8.4,-31.8,11.5,1.4,,,,,,,,3,79.5,2659,10.1,-52.4,13.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahnle, Tommy,592454,2022,2.84,-0.027,R,174,23.6,95.5,2139,-4.9,-14.3,16.7,1.8,,,,,,,,76.4,89.8,1322,-12.9,-31.4,13.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolarek, Adam,592473,2022,4.58,.039,L,319,5.6,89.4,2174,15.5,-26,17.8,1.4,16.3,77.2,2050,-8.2,-44.3,8.7,1.8,15.7,81.7,2115,17,-44.5,17.4,1.6,,,,,,,,62.4,88.1,2166,17.9,-37.5,18.2,1.6,,,,,,,,,,,,,,,,,,,,,,
Ray, Robbie,592662,2022,3.71,.008,L,3047,39.4,93.4,2282,6.7,-13.4,19.4,1.5,37.2,87.2,2190,-1.5,-28.3,8.1,1.7,0.7,86.9,1759,10.5,-23.1,17.2,1.6,1.9,79.7,2106,-2.5,-43.7,3.7,2.1,20.8,93.3,2190,15.4,-18.8,20,1.5,,,,,,,,,,,,,,,,,,,,,,
Sadzeck, Connor,592712,2022,9.00,.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampson, Adrian,592716,2022,3.11,-0.013,R,1694,33.2,92.5,2075,-10.2,-17.3,18.1,1,15.8,83.1,2616,10.4,-41.7,10.9,1.1,13.4,85.1,1816,-15.9,-31.6,17.2,1.3,,,,,,,,32.3,91.9,2003,-14.4,-21.3,18.3,1,5.3,84.9,2493,3.3,-37.6,5.5,1.3,,,,,,,,,,,,,,,
Sanchez, Aaron,592717,2022,6.60,.046,R,1006,19.6,92.4,2140,-11.2,-18.2,17.9,1.5,,,,,,,,10.7,87.8,1708,-15.8,-29.3,17.2,1.6,28.4,79.1,2632,12.8,-54.6,16.8,1.3,41.3,92.1,2131,-16.4,-22.5,19.2,1.4,,,,,,,,,,,,,,,,,,,,,,
Shreve, Chasen,592741,2022,6.49,-0.001,L,474,44.5,90.6,2338,10.7,-15.6,21,1,18.4,80.9,2272,-5.9,-47,8.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,82.9,989,11.3,-35.8,12.9,1.2,,,,,,,,
Smith, Caleb,592761,2022,4.11,.007,L,1234,45.6,91.9,2429,10.9,-13.9,21.8,1.3,28.9,85.4,2332,-3.1,-29.2,9.1,1.2,22.2,83.6,2130,13.7,-24.2,20.7,1.4,3.2,78.9,2410,-5.3,-48.6,8.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smyly, Drew,592767,2022,3.47,-0.006,L,1723,,,,,,,,,,,,,,,0.3,82.6,1300,6,-29.2,12.9,1.6,42.9,78.7,2119,2.6,-44.2,3.4,1.8,37,92.6,2158,8,-14.8,19,1.2,19.7,88.6,2103,3.6,-23.6,12,1.5,,,,,,,,,,,,,,,
Stanek, Ryne,592773,2022,1.15,-0.007,R,895,58.4,98.3,2307,-10.2,-10.8,20.5,1.2,18.5,87.1,2513,2.3,-38,3.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,88.6,1040,-12.3,-31,13.2,1.2,,,,,,,,
Syndergaard, Noah,592789,2022,3.94,-0.002,R,2026,14.9,94.1,2136,-5.8,-16.7,15.5,1.3,22.4,84.8,2153,5.8,-36.7,6.9,2.7,20,88.5,1539,-15.2,-26.8,17.5,1.3,10.9,76.4,2131,11.3,-47.8,11.7,1.6,31.8,93.6,2125,-14.1,-20.8,17.8,1.2,,,,,,,,,,,,,,,,,,,,,,
Taillon, Jameson,592791,2022,3.91,-0.014,R,2800,35.7,94.1,2370,-5.7,-13.2,18.8,1.1,18.8,86.2,2556,6.2,-32.6,7.9,1.4,8.4,87.7,1845,-14,-24.7,17.8,1.2,14.8,81.1,2734,9.2,-51.9,13.9,1.4,11.1,94.2,2298,-13.6,-16.2,20.1,1,11.1,90.7,2533,2.9,-20.7,13.1,1.4,,,,,,,,,,,,,,,
Thornburg, Tyler,592804,2022,3.32,.028,R,362,58,93.5,2405,-6.5,-12.3,20.3,1.2,6.6,83.4,2260,1.3,-43.6,4.6,1.5,13.8,84.7,1448,-11.7,-27.7,16,1.3,21.5,76.1,2615,8.2,-63.5,17.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velasquez, Vince,592826,2022,4.78,-0.008,R,1286,44,93.2,2417,-5.1,-13.1,19.3,1.3,22.5,84.7,2502,6.5,-33.8,8.7,1.7,8.7,88.1,1541,-12.2,-28.4,14.3,1.3,16.8,81.5,2361,4.4,-50.6,10.7,1.7,8,91.9,2259,-12.3,-18.5,18.8,1.4,,,,,,,,,,,,,,,,,,,,,,
Walker, Taijuan,592836,2022,3.49,-0.005,R,2499,29.5,93.7,2149,-10.1,-14,20.2,1.4,16.3,84.8,2403,5.3,-32.6,8.4,1.7,,,,,,,,8.7,75,2226,7,-60.5,13.6,1.7,11.3,92.9,2023,-15.2,-18.9,20.1,1.2,6.6,88.6,2329,1.5,-23,12.3,1.6,27.6,88.8,1447,-10.8,-32.6,11.3,1.5,,,,,,,,
Weiss, Zack,592848,2022,3.38,-0.016,R,209,32.1,94.6,2460,-5.1,-11.9,19.5,1,62.7,86.6,2535,9.3,-33.4,10.2,1.2,,,,,,,,,,,,,,,1,93.7,1494,-15.5,-20.2,19,1.5,4.3,92.8,2438,0.9,-22.6,9.6,1.4,,,,,,,,,,,,,,,
Wick, Rowan,592858,2022,4.22,.026,R,1132,55.7,94.9,2255,-2.8,-12.7,18.1,1.3,5.3,82.2,2149,11.8,-37.5,12.9,2.4,0.1,82.9,723,-12.6,-37.4,13,,21.4,76.8,2604,7.5,-65.6,20,1.5,0.2,91.7,1777,-12.9,-20.1,17.8,1.5,17.3,93.1,2240,2.5,-16.9,15,1.6,,,,,,,,,,,,,,,
Williams, Trevor,592866,2022,3.21,.021,R,1407,52.8,91.2,2242,-6.9,-19.9,14.9,1.4,11.7,83.2,2248,5.6,-37.1,6.5,1.3,13.1,84.4,1797,-13.9,-33.6,14.9,1.3,9.7,78.6,2256,11,-42,12.5,1.4,12.6,89,1918,-15.6,-30.9,16.1,1.3,,,,,,,,,,,,,,,,,,,,,,
Feliz, Michael,593140,2022,2.70,-0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German, Domingo,593334,2022,3.61,-0.001,R,1081,27.3,92.7,2539,-11,-15.7,19.8,1.2,,,,,,,,23.2,85.9,2368,-17.9,-28.5,20.1,1.3,37.3,81,2617,1.3,-45,4.2,1.4,12.2,92.7,2476,-17.5,-22.8,19.9,1.2,,,,,,,,,,,,,,,,,,,,,,
Montas, Frankie,593423,2022,4.05,.007,R,2327,28.5,96.1,2356,-6.3,-12.8,18.1,1.2,15.3,87.2,2410,6.2,-32.9,7.3,1.3,,,,,,,,,,,,,,,22.1,95.6,2243,-15.5,-18.4,19.4,1.2,8.6,89.5,2397,4,-27.8,7.8,1,25.5,86.4,1467,-12.1,-33.4,12.8,1.2,,,,,,,,
Neris, Hector,593576,2022,3.72,-0.011,R,1012,41,94.3,2448,-10.4,-13.9,20.2,0.9,6.6,87.6,1975,1.7,-29.9,6.3,1.4,,,,,,,,,,,,,,,21.5,94.5,2351,-16.9,-18.5,21,0.9,,,,,,,,30.8,85.1,1136,-10.7,-38.7,11.2,1.2,,,,,,,,
Tapia, Domingo,593619,2022,8.47,.094,R,363,25.1,97.9,2275,-12,-12.4,20.3,1.3,15.4,88,2353,4.4,-35.3,5.1,1.9,16.3,88.9,1781,-15.7,-25,18.5,1.5,,,,,,,,43.3,97.4,2161,-17.3,-18.7,20.2,1.2,,,,,,,,,,,,,,,,,,,,,,
Alberto, Hanser,593643,2022,4.09,-0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodriguez, Eduardo,593958,2022,4.05,-0.002,L,1469,35.7,91.7,2172,6.8,-18,16.1,1.4,4.1,82.8,2170,-3,-38.5,4.6,1.7,16.2,85.5,1873,16.5,-30.7,18.1,1.6,,,,,,,,19.6,91.7,2150,13.8,-22.1,17.5,1.3,24.4,88.7,2193,-1.1,-24.9,9.9,1.5,,,,,,,,,,,,,,,
Peralta, Wandy,593974,2022,2.72,-0.002,L,815,4.5,95.4,2218,13.5,-16,19.8,1.3,15.7,87.6,2241,-1.9,-31.3,5.1,1.5,42.6,88.6,2184,17.3,-30,18.3,1.6,,,,,,,,37.2,95.4,2186,17,-20.4,19.7,1.3,,,,,,,,,,,,,,,,,,,,,,
Gustave, Jandel,594311,2022,3.86,.008,R,466,6.7,96.1,2489,-9.9,-15.9,17.1,1.2,36.5,86.2,2379,7.7,-36.9,8,1.4,,,,,,,,,,,,,,,56.9,95.9,2379,-16.1,-22.9,17.7,1.1,,,,,,,,,,,,,,,,,,,,,,
Mayers, Mike,594577,2022,5.68,-0.004,R,890,46,93.5,2295,-11,-15,19.9,1.3,34.8,84.4,2145,4.1,-38.6,4.6,1.3,7.5,86.7,1574,-15.7,-30.1,17,1.3,2.6,77.2,2404,9.6,-56.7,14.4,1.8,0.8,92,2054,-15.9,-23.9,18,1.4,8.3,88.3,2288,1.8,-27.5,8.1,1.3,,,,,,,,,,,,,,,
Moll, Sam,594580,2022,2.91,.001,L,737,0.3,92.9,2368,3.3,-20.8,11.4,1.4,,,,,,,,,,,,,,,,,,,,,,44.4,93.3,2524,13.3,-27.9,14.1,1.3,,,,,,,,,,,,,,,,,,,,,,
deGrom, Jacob,594798,2022,3.08,-0.007,R,940,47.4,98.9,2516,-9.5,-11.3,19.4,1.4,39.3,92.6,2580,3.6,-26.4,6.6,1.3,8.2,92,1613,-13.2,-26.1,15.1,1.5,5.1,83.4,2691,7.3,-41.6,8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales, Marco,594835,2022,4.13,.004,L,2836,36.5,88.4,1986,12.2,-20.3,19.3,1.1,,,,,,,,30.5,79.4,2114,17.3,-36.7,18.8,0.9,13.4,76.6,2114,-6.3,-59.8,14.6,1.2,,,,,,,,19.6,86.1,2030,2.3,-25.2,11.9,1,,,,,,,,,,,,,,,
Treinen, Blake,595014,2022,1.80,-0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eickhoff, Jerad,595191,2022,20.77,.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okert, Steven,595345,2022,2.98,-0.006,L,968,31.9,93.7,2235,10,-16.5,18,1.2,68.1,82,2486,-10.2,-35.9,11.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beede, Tyler,595881,2022,5.14,.015,R,1072,23.7,95.8,2081,-11,-16.8,17.2,1.4,15.3,88,2068,1.5,-32.7,3.9,1.7,26.4,84.8,1617,-15.6,-34.3,16.2,1.3,11.5,79.1,2060,8.7,-56.4,15.3,1.3,23.1,95.6,2127,-15.7,-20.8,18.2,1.3,,,,,,,,,,,,,,,,,,,,,,
Ellis, Chris,595939,2022,10.38,.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junis, Jakob,596001,2022,4.42,.007,R,1802,0.5,90.8,2210,-4.5,-20.4,13.6,1.6,50.4,83.1,2475,13.3,-38.9,13.7,2.1,16.1,84.8,1396,-9.8,-33.3,11.5,1.9,,,,,,,,31.9,91.9,2191,-12.9,-24.1,15.6,1.3,1.1,85.6,2427,6.1,-32.4,8.1,1.5,,,,,,,,,,,,,,,
Mengden, Daniel,596043,2022,5.14,.017,R,119,29.4,92.5,2101,-4.9,-14.8,17.8,1.3,0.8,82.5,2395,5.7,-44.8,7.7,,19.3,84,1571,-12.7,-32,14.4,1.3,17.6,72.3,2407,12.4,-66,18.4,1.6,,,,,,,,32.8,87.3,2238,4.8,-29.5,8.3,1.7,,,,,,,,,,,,,,,
Norris, Daniel,596057,2022,5.22,-0.018,L,1009,34.4,91.2,2351,7.4,-15.5,19.1,1.7,,,,,,,,27.9,86.7,1426,13.1,-37.3,13.4,1.7,1.5,76.1,2402,-6.7,-61.2,15,1.4,7.8,90.9,2252,15.7,-22.7,18.9,1.5,,,,,,,,,,,,,,,,,,,,,,
Peters, Dillon,596071,2022,4.58,-0.012,L,634,23.3,92.9,2305,4.8,-15.1,17.4,1,11,84.7,2377,-3.8,-38.8,4.6,1.4,24.1,84.8,1543,12.6,-28.1,16.2,1.1,14.5,77.3,2906,-11.7,-56.6,15.9,1.8,27,92.5,2190,13.4,-19.3,18.5,1.1,,,,,,,,,,,,,,,,,,,,,,
Reed, Jake,596082,2022,7.02,.022,R,307,6.8,90.9,2322,-5.4,-23.3,11.5,1.4,44,81.8,2457,11.8,-36.5,13.1,1.8,2.3,82.2,1607,-15.9,-46.1,17,1.5,,,,,,,,46.9,91.7,2128,-17.7,-31.6,18,1.4,,,,,,,,,,,,,,,,,,,,,,
Stephenson, Robert,596112,2022,5.43,.008,R,914,47.8,96.8,2389,-11.4,-14,19,1.2,50.5,83.9,2914,5.2,-41.3,6.4,1.6,,,,,,,,1.1,77.5,2936,11.5,-56.3,15.9,1.4,,,,,,,,,,,,,,,0.5,88.1,1521,-11.2,-27.4,13.7,1.6,,,,,,,,
Stubbs, Garrett,596117,2022,17.18,.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaver, Luke,596133,2022,6.56,.043,R,721,59.6,94.9,2372,-8.8,-14.1,18.7,1.5,9.7,84.6,2291,4.8,-41,8.2,2,25.9,86.9,1664,-14.6,-30.7,16,1.8,2.9,80.1,2264,5.7,-51.3,10.6,1.4,0.7,94.7,2332,-15.6,-15.1,22.5,1.5,1.1,88.1,2327,0.5,-26.8,8.6,1.4,,,,,,,,,,,,,,,
Lawrence, Casey,596271,2022,7.50,.022,R,297,21.9,90.9,2229,-12.2,-19.1,18.7,1.2,30.3,81.3,2471,5.4,-33.1,10.7,1.4,28.6,83.2,1776,-17.7,-35.7,18.3,1.3,6.1,78.6,2554,7.1,-46.9,8,1.4,11.1,90,2143,-16.5,-27.4,17.9,1.4,2,85.7,2369,0.1,-27.7,9.4,1.4,,,,,,,,,,,,,,,
Gomber, Austin,596295,2022,5.56,.014,L,2059,40.7,91,2156,6.3,-15.6,18.5,1.6,24.6,84.3,2391,-5,-34.7,6.4,1.9,17.6,82,1644,9.8,-29.8,14.5,1.3,17.1,75.8,2497,-7,-61.6,15.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes, Matt,598264,2022,4.31,.011,R,693,45.9,95,2249,-10.9,-13.7,20.1,1.2,,,,,,,,7.2,87.2,2061,-18.1,-27.8,20.1,1.5,46.9,84.1,2049,3.7,-48.9,11,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramirez, Noe,598287,2022,5.22,.027,R,837,37.6,89.7,2187,-10.4,-22.6,15.6,1.1,,,,,,,,30.9,84.1,2023,-14.3,-43.4,15.2,1.4,31.4,78,2524,9.8,-46.2,10.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclerc, Jose,600917,2022,2.83,.004,R,782,36.6,96.5,2639,-4,-11.4,18.7,1.1,35.4,83.3,2583,9.5,-37.8,10.2,1.6,22,89.7,2153,-13.5,-23.1,17.6,1.3,,,,,,,,,,,,,,,6,89.2,2781,5.1,-30.8,6.9,1.4,,,,,,,,,,,,,,,
Machado, Andres,600921,2022,3.34,-0.031,R,997,30.6,95.6,2113,-7,-13.6,18,1.5,20,87.1,2010,5.1,-32.6,6.4,1.4,15.6,88.9,1519,-11.6,-29.4,12.9,1.4,,,,,,,,33.8,95,2039,-15.4,-18.7,19.4,1.3,,,,,,,,,,,,,,,,,,,,,,
Pivetta, Nick,601713,2022,4.56,.005,R,3082,51,93.4,2310,-5.1,-10.9,21.3,1.3,19.5,85.8,2317,5.7,-33.5,7.9,2.1,2.3,87.1,1170,-8.3,-27.5,12.3,1.8,27.2,77.2,2709,7.9,-65.2,20.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barlow, Scott,605130,2022,2.18,-0.003,R,1198,24,93.6,2394,-3.8,-19.1,12.8,1.5,44.6,84.1,2473,8.1,-39.4,8.4,1.5,,,,,,,,31.1,78.6,2513,16.2,-53.4,18.5,1.5,0.3,92.6,2129,-13.7,-25.6,15.1,1.4,,,,,,,,,,,,,,,,,,,,,,
Bassitt, Chris,605135,2022,3.42,.006,R,2886,13.1,93.2,2191,-5.5,-17.8,14.9,1.5,8,82.7,2345,6.9,-38.8,7.6,2.1,6.1,85.4,1824,-16.2,-30.9,17.9,2.2,13.9,71.6,2330,14.9,-68,20.4,1.4,33.5,92.8,2118,-16.1,-22.5,18.8,1.3,17.3,89,2262,2.5,-25.6,9.4,1.6,,,,,,,,,,,,,,,
Bradley, Archie,605151,2022,4.82,.018,R,305,29.5,93.7,2188,-9.9,-14.8,19.4,1.1,,,,,,,,15.7,85.6,1396,-13,-30.5,15,1.4,27.2,79.7,1968,9.2,-49.2,12,1.6,27.5,93.2,2078,-15.4,-19,20,1.2,,,,,,,,,,,,,,,,,,,,,,
Brebbia, John,605154,2022,3.18,.031,R,1091,46.2,94.4,2309,-10.1,-13.4,20.2,1.3,53.8,84,2548,5.9,-35.4,7.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks, Aaron,605156,2022,7.71,-0.061,R,154,23.4,93.6,2126,-10.4,-17.4,17.6,1.4,22.7,85.6,2511,3.9,-37.4,5,1.4,24.7,85.6,1765,-8.5,-35,9.5,1.7,3.9,78.9,2271,6.7,-46.7,7.7,1.4,25.3,92.8,1971,-17.2,-23.2,19.4,1.3,,,,,,,,,,,,,,,,,,,,,,
Bundy, Dylan,605164,2022,4.89,.008,R,2180,39.7,89,2352,-4.5,-15.3,20,1.4,24,79.1,2404,5.3,-44.4,6.2,1.3,18.7,81.1,1361,-12.2,-35.3,13.9,1.4,10.6,72.2,2148,8.2,-63.4,13.8,1.5,7,89.7,2194,-12.1,-17,21.1,1.5,,,,,,,,,,,,,,,,,,,,,,
Chafin, Andrew,605177,2022,2.83,.019,L,899,28.5,91.6,2138,9.6,-17.3,18.3,1.4,31.9,82.9,2485,-0.2,-40.7,2.3,1.2,0.3,84.7,1759,13,-25.3,18.5,1.5,,,,,,,,39.3,91.6,2106,15,-20.6,19.4,1.5,,,,,,,,,,,,,,,,,,,,,,
Clevinger, Mike,605182,2022,4.33,-0.014,R,1926,36.7,93.6,2300,-8.7,-14.2,19.2,1.4,20.6,79.9,2447,15.6,-44.6,15.9,1.4,9.7,86.3,1554,-14.4,-26.6,17.9,1.7,3.4,76.8,2231,6.5,-57.4,13,1.5,15,93.2,2242,-14,-16.6,20.7,1.4,14.6,86.6,2472,4.3,-31.3,7.8,2.5,,,,,,,,,,,,,,,
Cotton, Jharel,605194,2022,3.56,-0.001,R,741,44.7,92.7,2263,-8.3,-13,20.7,1.6,10.4,79.5,2440,12.7,-46.3,13.3,1.6,40.4,79.7,2392,-13.5,-36.8,15.1,1.8,4.6,76.2,2614,3.5,-62.8,16,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crick, Kyle,605195,2022,4.02,-0.037,R,279,4.3,92.2,2321,-4.8,-20.9,12.5,1.3,57.3,79.7,3053,20.2,-40.1,20.7,1.1,,,,,,,,,,,,,,,38.4,92.1,2141,-13.8,-28.9,14.3,1,,,,,,,,,,,,,,,,,,,,,,
Davies, Zach,605200,2022,4.09,-0.009,R,2292,0.1,87.4,2161,-7.2,-20.7,16.8,1.5,0.9,76,2504,15.8,-52.4,16.7,1.5,33.2,79.7,1672,-14,-34.6,16.6,1.2,6,74.8,2580,10.9,-62,16.8,1.5,54.1,89.6,2084,-14.8,-21.7,19.7,1.6,5.8,87.6,2148,-4.8,-22.4,14.3,1.1,,,,,,,,,,,,,,,
Edwards Jr., Carl,605218,2022,2.76,.011,R,1014,67.9,94.6,2522,1.7,-14.2,16.5,1.3,,,,,,,,9.6,90.6,1654,-12.3,-23.4,16.2,1.3,22.6,80.2,2120,7.9,-52.7,13.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmer, Michael,605242,2022,3.39,.012,R,1043,15.6,94.2,2302,-4.1,-15.2,16.2,1.4,,,,,,,,6,86.5,1503,-13.3,-32.5,14.1,1.6,2.1,78.9,2409,12.9,-56.6,18,1.7,12.9,94.5,2188,-15.1,-20.3,18.6,1.3,63.3,90.3,2414,4.3,-26.6,8.5,1.6,,,,,,,,,,,,,,,
Holmes, Clay,605280,2022,2.54,.010,R,976,0.1,98,2266,-8.6,-17,14.3,,6.6,88.3,2525,2.7,-38.6,4.9,1.9,,,,,,,,,,,,,,,80.1,97,2208,-16.9,-23.9,17.8,1.6,,,,,,,,,,,,,,,,,,,,,,
Houser, Adrian,605288,2022,4.73,-0.014,R,1848,17.7,94.3,2214,-9.4,-15.5,18.2,1.4,13.4,85,2265,6.1,-36.5,7.1,1.8,9.5,85.4,1548,-15,-30.7,16.8,1.5,11.7,81.1,1984,6.7,-55.6,15.5,1.3,47.7,93.8,2077,-16.2,-22.6,18.4,1.2,,,,,,,,,,,,,,,,,,,,,,
Lopez, Jorge,605347,2022,2.54,-0.005,R,1161,4.5,97.3,2068,-10.3,-13.7,18.5,1.3,10.7,87.4,2369,7.7,-34.5,9,1.7,15.6,90,1699,-15.8,-30.8,16.3,1.3,18.8,84.1,2449,9.2,-50.8,15.2,1.5,50.5,97.7,1990,-17.2,-20.6,19.1,1.1,,,,,,,,,,,,,,,,,,,,,,
Musgrove, Joe,605397,2022,2.93,.002,R,2834,24,92.9,2559,-4.1,-18.3,14.2,1.2,24.4,82.9,2715,12.8,-41.8,13.2,1.2,6.3,86.5,1974,-11.4,-32.7,12.4,1.3,19.1,81.3,2722,9.6,-55.5,16.8,1.2,6.8,92.4,2436,-12.4,-22.9,15.7,1.2,19.4,90.1,2581,1.6,-24.5,9.4,1.3,,,,,,,,,,,,,,,
Nola, Aaron,605400,2022,3.25,.008,R,3039,33.4,92.8,2308,-13.1,-16.6,20.3,1.3,,,,,,,,14.7,85.9,1482,-15.2,-33.8,15.9,1.3,26.5,78.6,2589,14.4,-55.7,18.1,1.1,18.8,92.2,2198,-17,-22.6,19.6,1.4,6.5,86.8,2212,0.9,-29.1,7.5,1.3,,,,,,,,,,,,,,,
Rodriguez, Dereck,605446,2022,3.52,-0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano, Jordan,605447,2022,2.11,-0.033,R,989,47.9,96.9,2289,-5.3,-11.2,19,1.6,51.8,87.3,2082,4.2,-36.9,5.2,2,,,,,,,,,,,,,,,0.3,96.5,2357,-12.2,-10.5,22.7,1.4,,,,,,,,,,,,,,,,,,,,,,
Scott, Tayler,605463,2022,6.75,.074,R,255,16.1,94,2219,-10.8,-17.5,17.4,1.4,56.5,83.9,2769,11.4,-41.5,12.1,1,1.6,89.2,1689,-15,-27.2,17,1.4,,,,,,,,25.9,93.6,2232,-16.1,-22.6,18.5,1.1,,,,,,,,,,,,,,,,,,,,,,
